time,entity,id,x,y,status,battery,region,direction
20,drone,3,14.15532826986012,35.06803038083928,direct_transport_to_pickup,295.0,global,
20,drone,4,50.0,35.0,idle,288.819660112501,global,
20,drone,5,66.66666666666667,40.0,idle,300.0,global,
20,drone,6,13.333333333333334,66.66666666666667,idle,300.0,global,
20,drone,7,40.0,66.66666666666667,idle,300.0,global,
20,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
20,bus,0,15.0,40.0,at_station,,,1.0
20,bus,1,25.0,60.0,at_station,,,-1.0
20,bus,2,40.0,15.0,at_station,,,1.0
20,bus,3,50.0,35.0,at_station,,,-1.0
20,bus,4,15.0,20.0,at_station,,,1.0
20,bus,5,45.0,60.0,at_station,,,-1.0
20,bus,6,20.0,15.0,at_station,,,1.0
20,bus,7,50.0,55.0,at_station,,,-1.0
20,bus,8,15.0,0.0,at_station,,,1.0
20,bus,9,65.0,60.0,at_station,,,-1.0
20,bus,10,0.0,15.0,at_station,,,1.0
20,bus,11,50.0,75.0,at_station,,,-1.0
21,drone,0,20.0,15.0,waiting_at_bus_station_for_delivery,293.12815729063726,global,
21,drone,1,25.329254627373537,19.54493299279644,direct_transport_to_delivery,283.7996415874206,global,
21,drone,2,47.55108649222767,19.215050310083793,direct_transport_to_pickup,280.0,global,
21,drone,3,14.977323206386906,30.136060761678564,direct_transport_to_pickup,290.0,global,
21,drone,4,50.0,35.0,idle,288.819660112501,global,
21,drone,5,66.66666666666667,40.0,idle,300.0,global,
21,drone,6,13.333333333333334,66.66666666666667,idle,300.0,global,
21,drone,7,40.0,66.66666666666667,idle,300.0,global,
21,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
21,bus,0,15.0,40.0,at_station,,,1.0
21,bus,1,25.0,60.0,at_station,,,-1.0
21,bus,2,40.0,15.0,at_station,,,1.0
21,bus,3,50.0,35.0,at_station,,,-1.0
21,bus,4,15.0,20.0,at_station,,,1.0
21,bus,5,45.0,60.0,at_station,,,-1.0
21,bus,6,20.0,15.0,at_station,,,1.0
21,bus,7,50.0,55.0,at_station,,,-1.0
21,bus,8,15.0,0.0,at_station,,,1.0
21,bus,9,65.0,60.0,at_station,,,-1.0
21,bus,10,0.0,15.0,at_station,,,1.0
21,bus,11,50.0,75.0,at_station,,,-1.0
22,drone,0,20.0,15.0,waiting_at_bus_station_for_delivery,293.12815729063726,global,
22,drone,1,20.493881941060305,20.817399489194656,direct_transport_to_delivery,278.7996415874206,global,
22,drone,2,45.0,20.0,direct_transport_to_delivery,277.33088248544095,global,
22,drone,3,15.0,30.0,direct_transport_to_delivery,289.86206244950296,global,
22,drone,4,49.22018713263495,30.061185173354655,direct_transport_to_pickup,283.819660112501,global,
22,drone,5,66.66666666666667,40.0,idle,300.0,global,
22,drone,6,13.333333333333334,66.66666666666667,idle,300.0,global,
22,drone,7,40.0,66.66666666666667,idle,300.0,global,
22,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
22,bus,0,15.0,42.5,moving,,,1.0
22,bus,1,22.5,60.0,moving,,,-1.0
22,bus,2,42.5,15.0,moving,,,1.0
22,bus,3,50.0,32.5,moving,,,-1.0
22,bus,4,15.0,22.5,moving,,,1.0
22,bus,5,42.5,60.0,moving,,,-1.0
22,bus,6,22.5,15.0,moving,,,1.0
22,bus,7,50.0,52.5,moving,,,-1.0
22,bus,8,15.0,2.5,moving,,,1.0
22,bus,9,62.5,60.0,moving,,,-1.0
22,bus,10,2.5,15.0,moving,,,1.0
22,bus,11,50.0,72.5,moving,,,-1.0
23,drone,0,20.0,15.0,waiting_at_bus_station_for_delivery,293.12815729063726,global,
23,drone,1,16.0,22.0,idle,274.1527588830321,global,
23,drone,2,41.095655952784846,23.123475237772123,direct_transport_to_delivery,272.33088248544095,global,
23,drone,3,17.23606797749979,25.52786404500042,direct_transport_to_delivery,284.86206244950296,global,
23,drone,4,48.440374265269895,25.12237034670931,direct_transport_to_pickup,278.819660112501,global,
23,drone,5,66.66666666666667,40.0,idle,300.0,global,
23,drone,6,13.755548716764237,61.68452514218201,direct_transport_to_pickup,295.0,global,
23,drone,7,40.0,66.66666666666667,idle,300.0,global,
23,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
23,bus,0,15.0,47.5,moving,,,1.0
23,bus,1,17.5,60.0,moving,,,-1.0
23,bus,2,47.5,15.0,moving,,,1.0
23,bus,3,50.0,27.5,moving,,,-1.0
23,bus,4,15.0,27.5,moving,,,1.0
23,bus,5,37.5,60.0,moving,,,-1.0
23,bus,6,27.5,15.0,moving,,,1.0
23,bus,7,50.0,47.5,moving,,,-1.0
23,bus,8,15.0,7.5,moving,,,1.0
23,bus,9,57.5,60.0,moving,,,-1.0
23,bus,10,7.5,15.0,moving,,,1.0
23,bus,11,50.0,67.5,moving,,,-1.0
24,drone,0,20.0,15.0,waiting_at_bus_station_for_delivery,293.12815729063726,global,
24,drone,1,16.0,22.0,idle,274.1527588830321,global,
24,drone,2,37.19131190556969,26.246950475544246,direct_transport_to_delivery,267.33088248544095,global,
24,drone,3,18.0,24.0,idle,283.1538585170036,global,
24,drone,4,47.660561397904836,20.183555520063965,direct_transport_to_pickup,273.819660112501,global,
24,drone,5,66.66666666666667,40.0,idle,300.0,global,
24,drone,6,14.177764100195139,56.70238361769736,direct_transport_to_pickup,290.0,global,
24,drone,7,40.0,66.66666666666667,idle,300.0,global,
24,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
24,bus,0,15.0,50.0,at_station,,,1.0
24,bus,1,15.0,60.0,at_station,,,-1.0
24,bus,2,50.0,15.0,at_station,,,1.0
24,bus,3,50.0,25.0,at_station,,,-1.0
24,bus,4,15.0,30.0,at_station,,,1.0
24,bus,5,35.0,60.0,at_station,,,-1.0
24,bus,6,30.0,15.0,at_station,,,1.0
24,bus,7,50.0,45.0,at_station,,,-1.0
24,bus,8,15.0,10.0,at_station,,,1.0
24,bus,9,55.0,60.0,at_station,,,-1.0
24,bus,10,10.0,15.0,at_station,,,1.0
24,bus,11,50.0,65.0,at_station,,,-1.0
25,drone,0,20.0,15.0,waiting_at_bus_station_for_delivery,293.12815729063726,global,
25,drone,1,16.0,22.0,idle,274.1527588830321,global,
